a 嗄啊錒锕吖呵阿腌
xiong 胸雄诇匈訩凶兇焸汹詗忷詾芎洶讻赨熊胷匂賯焽哅恟夐兄
xiu 绣璓髤螑蓨脩羞綉臰髹咻潃珛苬峀宿嚊銹鱃烌嗅休琇貅饈烋飍鏅溴樇鸺臭繡鏽俢褎秀綇滫修銝袖鵂朽臹齅糔锈茠岫庥脙馐褏鏥鎀
xu 歘潊晇蓄疞絮烅沀俆殈縃汿绪譃緖胥許溆揟姁槒銊幁勗珝訹聓盨楈偦蓲芧恤敘煦諿怴湑顼滸須諝欨獝欻虗糈续旴緰眗壻蕦慉蓿蒣浒暊墟盱媭魖訏烼虚蝑稰魆聟鉥昫惐虛伵瞲徐漵酗叙藚冔蛡卹洫嘼诩圩盢砉喣戌许畜瞁鱮驉歔垿吁须谞謣婿序朂欰藇續滀嬃詡醑噓鬚賉需珬呴窢掝勖敍旭頊鑐栩稸緒裇淢鄦嘘侐繻
xuan 玄藼漩萲券絢旋萱蕿駨繏檈揈楦選炫暶鋗駽獧揎煊矎眩玆璇昍翧懁弲镮衒绚譞癣烜軒鍹睻昡還琄痃蠉煖蔙癬渲塇眴儇喧蜎縣鐶宣轋选贙吅暄蘐鏇妶暅絃轩鉉谖袨禤悬嬛铉媗蓒梋澴夐翾璿愃嫙諼鞙諠碹縼晅泫蝖琁懸蜁楥狟颴箮怰咺愋玹瑄镟
xue 桖踅坹薛泬鷽鸴茓乴吷谑学趐辪瞲觷狘瀥學鴬峃嶨鞾謔蒆雤怴疶穴澩壆滈韡燢雪斈辥袕削泶泧鳕靴噱岤鱈血疦
xun 坃蟫爋巡稄絢駨熏潯璕鑂孫迅樳訓焄訊紃狥勲汛愻偱卂葷勋洵遜奞醺纁噚浚詢獯蟳馴殾塤鱘濬杊训廵栒嚑伨迿噀循鄩窨矄勛薫询巽讯殉旬曛绚燖爓攳蕈壎荨郇襑巺埙鲟驯灥燅荤薰恂臐揗顨尋賐浔荀峋蘍寻逊燻毥勳壦侚桪畃珣姰咰蕁燂訙鱏徇
ya 疋揠浥挜輵漄玡烏丫錏鵶崖齖拁椻圧瑘俹埡椏氩唖稏雅桠堊崕亞堐猚襾圔涯閘鸭窫婭啞瘂娅垭芽姶押呾鴨鶕压鴉哑轧厭孲劜琊蚜釾厊岈呀壓亚猰氬疨圠鐚厌軋衙齾枒鵪亜蕥掗厓鸦犽伢庌睚訝牙讶聐庘迓铔痖穵砑笌
yai 疋揠浥挜輵漄玡烏丫錏鵶崖齖拁椻圧瑘俹埡椏氩唖稏雅桠堊崕亞堐猚襾圔涯閘鸭窫婭啞瘂娅垭芽姶押呾鴨鶕压鴉哑轧厭孲劜琊蚜釾厊岈呀壓亚猰氬疨圠鐚厌軋衙齾枒鵪亜蕥掗厓鸦犽伢庌睚訝牙讶聐庘迓铔痖穵砑笌
yan 渷奄餍崄鰋鷃罨讠儼弇巘阎縯嚴闫壛炎彥閹熖姲觾颜酓匽偃橪崦延厃顩齴鴈黶彦喭猒恹孍閆烻驗覎贗珚焑鬳遃豔巖礹燄燕硏夵黫灩湮兗騴訮顑黬龑砚剡魘滟觃嵓硽娫妍嶮龂衍焰顏艷諺閼殷葕隁溎铅堰裺眼虤鼹阉黤殗胭曕壧艶筵芫巚棪兖煙郔醼懕嚥讌狿琂唁灎娮焱齗敥齞鄢验訁麣鹽灧黭墕严檐綖乵言沿赝戭櫩嵃嬮詽贋椼醶鳫鷰宴甗演爓嫣厌躽淹閻抁艳俨渰黡蝘傿厣菸掩炏靨揅研昖姸顔啱萒阏掞灔偣牪鉛漹硯臙厳椻讞焉喦簷嵒郾盐隒洝谳鼴巌沇羨淊菴岩咽晏魇厭厴驠酀噞騐酽曮妟饜谚腌巗懨嬊楌莚醃鶠媕篶琰屵揜葊嶖豓蔅嬿褗鴳麙碞蜒扊暥阽雁釅烟偐檿愝
yang 泱疡陽詇飬洋崸杨羕眏玚痒鴹懩鰑胦禓瘍樣様钖崵蝆鍈瀁羏珜佒劷羊鉠礢氱攁飏仰鸯佯傟抰央楊柍阦氧垟敭駚恙漾怏鸉瑒岟婸炴卬癢旸徉霷軮雵扬阳歍慃養楧样鴦颺霙鞅揚氜咉紻勜蛘炀坱秧锳姎諹煬鐊烊殃鍚养暘昜眻輰
yao 鳐鑰咬殽葽藥蘨窯瑶傜鴢腰溔宎鎐熎踰尭狕筄姚幺疟鈅謠徺窑瘧偠鷕滧餚獟摇邀葯讑矅喓药妖曣摿崾瑤陶祅柼嶢繇耀僥钥趯蕘愮鹞纅暚訞袎軺燿铫夭詏倄谣撽嶤苭肴鰩媱抭闄薬榣侥揺尧鴁飖曜猶珧遙窔烄岆齩杳覞吆顤烑峣遥餆驁荛婹嗂謡猺颻榚堯要爻约蓔玅約窰靿搖殀匋鼼徭穾恌騕窅楆磘枖垚眑么銚舀仸窈轺艞鷂
ye 墷擛烨鍱頁擖爗黦峫曄鵺潱腋页饐業铘嘢嚈揶暍殕璍煠冶洂楪瞸椰曵堨鋣鎁壄葉嶪抴馌鐷蠮谒熀饁礏擨咽啘嶫爺邺釾也鎑液謁倻枼野瞱鄴亱瓛歋枒僷拽晔噎枽漜曳殗鸈曗偞吔燁蠱叶擪靥驜掖业皣餣澲邪擫靨耶鄓夜捙捓痷曅爷埜
yi 頤弈褘埸佁殔萟薏銕噫扅呓媐墿萓檥饐俋熈艤夷掜恞怈黳嗌意熪呹鯣鳦蓺乁椅艾燱孴戺沶狏缢咿一蛦顗移跠苅鮨悒賹栘亄夁裔裛撎忔柂羛肄枻咦鶂簃迆耴斁貽沂宧椬亿铱繄黟藝苡芅袆豛旖醷彞嶷伊袘炈秇蛜瘞螠鷖酏醫靾浂潩鮧焲檹帟苢翊裿郼棭桋銥宜羿浥疫翌译峄癔以峓齸螔益詣钇忆镱羠轙跇舣食迤挹荑贻億絏勚彝詍曀痍艺易彵幆湙亦饴遗燡瞖囈熠悘拸豙枍嶧奕刈玴譯暆怡蚁霬旑弬隿杝詒坄埶吚狋椸冝阤瑿儀攺獈訑欭廙洢鏔寱釴熤侇袣欥庡稦祎歖匜呭洩劮焬翳儗兿圯殪乂蟻飴伇宐瓵槸鸃殹昳巸熙逘鎰驛帠轶疑懿弋杙倚榏謻佾矣怿弌彛褹勩繹栺繶锜鷾靉藙歝毅嬑衵晹鉇依浳艗螘醳鈠頥軼鴺妷议嬄襼睪彜壹懌膉镒圛鹝乙蘙衤黓誼仪役瘱诣釔笖泆礙鉯珆医憶溢釶鹥瘗澺屹豷讛燚異譩毉頉輗绎谊佚唈遺鹢尾崺讉嫛訲胰异鈘鶃曎栧衪逸蜴貖樴箷耛襗猗义蛡漪嫕翼鷧迻肊揖迱颐錡檍輢劓诒鷊抑觺眙敡議瀷穓已鷁貤顊竩嬟骮贀驿叆仡義衣阣辥渏陭邑礒伿虉搤熼誃縊痬扆臆姨鐿敼齮悥禕蛇扡偯垼譺蛾嶬寲
yin 秵禋噾洕苂因侌癊湚阴鞇婣骃筃靷酳峾泿喑慇犾縯鮣檭堷陰癮陻唫洇絪憗訚廴淫銀檼铟堙吟釿膶韾茵鈝瘾梀諲訡印訔慭姻酓银婬靛伒溵磤垽鈏龈嚚猌蘟讔銦囙歅硍赺霪飲螾愔崟寅璌蟫齦隱濦櫽引趛隂滛胤飮崯輑朄潯湮裀饮蚓乚駰懚檃氤尹夤鷣烎闉憖龂冘霒荫瘖嶾殷碒霠蔭隠窨圁茚蔩乑濥圻音誾淾廕緸狺凐鄞垠阥欭蒑噖隐荶斦殥玪吲栶烟珢齗垔
ying 韺營瀯覮鎣賏攍濙瓔嬰鶧瑩僌英櫿朠夃譍煐绬瘿郢泂溁罌迎螢韹巆浧啨穎籝廮樱暎碤嚶滎鞕鸚应影頴蘡鹦俓锳颕旲譻瀴濚滢濴茔瀠嬴熒瑛偀甇楹鶯瀅嫈攖灜萾礯营莹鑍鐛颖癭璎贏潁萦膺孾甖鍈摬謍焽颍潆荧蠳鸎鱦噟撄莺縈纓荥硬赢桯蝇媵媖鹰孆鷪蓥嘤應巊瀛鷹盁渶萤褮梬籯蝧櫻盈罂霙緓塋婴溋缨嵤藀罃蠅映矨膡
yo 唷嚛哟育喲
yong 壅痈噰鳙喁詠愹勈廱蛹甬擁惥塎鱅鄘慂邕嗈癰用勇永咏踴踊灉俑鲬槦慵傛雍鏞墉镛禜佣鰫庸臃醟鷛苚嵱拥雝颙愑涌鯒揘牅硧悀砽筩饔銿恿嫞彮埇湧傭蒏澭滽顒栐癕泳郺
you 湵懮蓧栯麀游莸浟蚘甴逌蝤羗櫌獶右苃牰滺脩斿有幼优秞猶遊梎汓怣優戭泑邎牗脜幽沋櫾尢迶瀀纋銹邮蜏鈾怮佑诱攸冘肬郵蝣呦犹疣痏蚴莤狖悠祐囿酭莠妋莜楢魷哊聈駀蕕憂繇宥糿黝羐鄾姷褎油侑誘槱友耰峳唀禉庮鱿牖孧怞亴偤蚰鲉鮋忧揂铕訧峟猷銪丣梄輏逰輶貁柚羑酉卣嚘釉由又尤鼬铀
yu 栯愚嫗餘喻祤与酑茟钰宇匬予玉邘悇灹箊楀悆蔚滪於穀馀罭癒丂棫楰矞于欝蒮漁籅釪僪玗桙魚諭羽緎魊鱊飫蓹堬伛楡昱鳿鬻驈薁鴧穥榆鱼獄旟騟喐齵伃蜟爩髃焴欲鐭琙俁雩鋊軉愈籲萮舆聿逳霱煨预與鋙娛揄鬰瘐迂惐虶饫鮽錥崳饇蜮繘輿蝺鰅嵛諛閼預纡陓兪硲欎礇歶龥寓尉藇牏菀堣歟銉虞颙鹬鍝貗琟瑀秗鵒竽澞鴪麌余粥淤螸欤鸆唹慾灪熨頨俼郚顒淢渔蕷叞庽喩腴艅懙歈蘛傴萸棜貐燏圫隅畬吳蝓觎逾誉圄鴥踰嬩蘌蕍杅篽媀禺彧棛褕硢砡稶裕嶼扜雓茰狱屿铻鹆澦毓芌骬煜盓娱礜畭萭御瘉儥語鈺谷域蓣嶎渝鬱燠鷸妪庾豫戫遹羭閾遇峿盂艈汙俣芋齬轝喅嵎輍燰驭龉鐍稢臾喁忬噊妤语穻醧鄅隩愉噳瘀袬狳谕斔雨覦翑馭鸒迃璵籞紆峪敔舁谀斞媮圉譽娯隃阈墺鱮偊禹吁謣窳堉睮俞禦衧郁汚鷠亐挧湡淯瑜玙寙蟈魣育櫲窬扵込浴
yuan 蒝园騵鋺貟蝝願嬽湲妴員原怨蝯衏妧邍圆盶元鎱涴邧冤辕円逺弲鳶远寃謜裫悁渕圜惌轅圓笎杬垣垸爰缘鸳鸢噮媴茒榬薳肙圎苑鶰棩蜎獂鹓櫞鴛剈渆鶢鼋羱渊瑗箢鼘厡袁塬榞员贠渁魭援薗鵷囦院猨猿橼園灁螈嫄厵溒蜵喛縁鼝傆蒬媛蚖芫遠褑愿楥眢黿駌嫚淵禐緣沅源葾夗褤掾裷
yue 妜鑰悅黦閲蚏枂説箹髺禴龠哕櫟钺說戉籰曱汋鉞爚玥月说悦矱籆鈅蘥鸑彠樾閱阅鸙篗蚎约礿岳樂嬳約籥钥軏趯粤矆岄越跃嶽躍瀹楽曰噦臒跀栎躒刖捳抈恱粵哾乐彟
yun 云蕰貟涢鈗酝醞匀雲缊夽員鞰藴鄖狁运齫橒蒷筼氳蒀晕隕贇愠荺沄蘊輼霣紜榅奫鋆褞蝹暈韗餫喗伝眃韻囩郓馧筠賱允腪鄆蕴郧熉轀昀煴辒蒕傊溳慍齳玧孕愪澐秐纭運氲赟蕓阭殒恽妘员熅贠陨惲薀韫畇芸醖縕媼耘耺韞勻涒蜵韵頵枟馻煾抎縜熨緷磒篔殞緼
za 紥沞雑沯臢扎咱偺迊喒臜帀桚咂噈砸魳囋雥囐雜鉔襍磼匝韴紮咋拶杂
zai 酨在哉縡渽再烖溨扗儎宰甾載菑崽栽载灾睵洅仔災賳傤
zan 鄼禶鏩濽蹔贊揝赞撍瓒咱簮饡儧偺喒瓚兂篸賛鐟桚瓉鐕酇穳囋寁讚攢鏨襸錾昝簪暂酂糌攒讃趲拶暫趱灒噆儹
zang 脏羘匨賘弉欌奘臧驡藏赃賍髒贜駔蔵葬塟牂臟贓銺驵
zao 遭蚤謲竈薻醩蹧梍唣棗灶皁造譟喿傮艁栆鑿璪繰皂璅澡煰慥躁缲簉糟早藻趮枣凿唕噪燥
ze 責稄歵諎幘捑赜謮啫萚簀澤昃沢泽则夨笮责襗汄礋択择飵齚樍帻嫧庂崱侧啧溭賾側嘖擇箦蘀迮矠舴瞔齰唶仄泎昗咋蠌則耫皟滜鸅
zei 贼鰂鲗鱡蠈賊戝
zen 怎谮譖譛囎
zeng 甑繒磳橧综缯縡贈憎增増曾锃鋥璔譄鬷熷曽綜矰罾赠鄫
zha 紥蚱哳冊宱甴咤拃鲊鞢煠灹摣搾踷譇囃溠柵砟閘喥喋牐醡箑霅札紮搩楂栅渣诈齇鮺轧齄詐乍偧蹅炸鲝喳餷箚扎馇柞挓查苲觰軋蚻榨劄皶鍘柤蜡奓皻齰譗铡闸潳樝痄眨揸吒鮓剳厏咋耫抯
zhai 砦責榸亝夈侧宅捚側翟擇斎抧债祭鉙窄责債齋厏檡寨骴择摘瘵斋
zhan 鹯嶄戰霑搌嫸惉旜棧嵁綻栴拃斬碊虥皽辗颤驏橏虦蛅旃詹蹍枬閚崭盞颭瞻詀嶦趈鱣菚战氈榐展沾氊覱占佔粘譧湛醆怗襢噡欃栈黵蘸薝餰輾輚琖鳣譫魙绽轏鸇毡邅點跕飦嶃谵偡驙饘顫斩嶘站盏飐
zhang 暲章鱆幛张彰仉杖蔁涨餦仧獐礃障漲嶂胀长粻長涱帐弡賬嫜扙璋帳仗麞瘬樟張瞕账漳幥鄣騿掌遧墇瘴蟑慞傽脹痮镸鞝丈
zhao 窼找巶釗钊菬啅佋櫂謿羄朝皽爫燳罩盄狣着趙駋瞾沼鮡诏炤詔棹肁妱爪垗鍣箌瑵昭肇旐嘲枛照啁招笊鳭兆赵曌召肈鼂鼌鉊
zhe 柘褶潪夂著輙鷓辄蔗蛰銸嚞輒着扸者乛虴晣聑磔讁赭嫬鮿蟅遮杔樜籷晢鍺砓折讋悊謫袩嗻轍謺蜇蟄鹧矺慹鷙襵驝禇浙厇歽啠棏哲喆這这粍詟淛谪摺锗埑辙
zhei 這这
zhen 酖屒震旽錱眹葴鱵阵槇侲抮鎭弫鋴朾鎮枮覙賑蒖眕轸榐裖珎甄搸榛昣纼幀镇樼蜄挋碪軫稹嫃偵紖薽朕砧鬒珍聄黮揕湞靕诊鍖针箴針斟澵椹浈鉁鴆赈謓貞眞殝陳楨贞辴姫敶缜酙鸩真圳黰禎紾帧栕鼑絼潧遉趂誫桢袗侦臻蓁迧振獉畛寊溱瑧縝胗塦診枕沴縥籈陣竧桭鍼禛轃疹栚帪祯駗
zheng 铮抍姃鉦鯖蒸晸睁崢佂整怔掙鄭筝愸狰証掟崝证氶鮏烝錚争埩踭媜钲撜丁箏郑眐埥徰爭塣徵政诤聇篜症睜憕諍鴊徎糽正嶒征脀拯炡鲭徴峥鬇癥挣猙揁證
zhi 拞徝庢掷呮歭樲秪筫躓戠捗聀藢指衹巵偫潌秲寘雉犆汁厔沚畤秖値秷跖廌椥旘騺之徵痣鑦懥狾忮郅綕扺菭豸芖梽帜职脂崻鯯纸至秇轵姪蟙锧劧紩只躑禃跱胵帋眰茋膱痔贄柣侄夂觗洷蘵淽治袟蹢黹蹠桎枝卮织銍懫絺祑置擿直旨滞骘芷庤摭稺禵祉栀疻質製祗劕肢祬杝制胑鑕阤芝彘鶨鷙迣職秩止翐炙執斦徴馶智潪鳷憄輊實垁榰騭峙傂誌楖緻趾墆螲剬栺櫛铚洔疐蚔徏儨漐枳晊擲踬稙瀄墌汦泜熫坧陟埴擳址秓幟妷扻觝薙訨抧致禔蛭执觯穉豑馽质栉滯氏觶淔袠蜘軄殖踯梔摨娡咫恉帙胝紙鼅窒櫍隻瓡臸酯鸷茝挚膣搘縶軹礩值樴驇貭遲駤阯挃支倁豒志稚搱识覟襧釞砋吱瘈滍識鋕植贽嬂坁疷慹絷銴織鴙轾瓆知猘臷摯鴲汥祇衼
zhong 妐伀忠彸锺緟煄鐘终蔠種衳衆蟲歱仲种塚穜钟蝩衷柊蚛諥狆冢籦中汷祌喠妕鈡泈腫堹蹱肿鍾螽媑舯徸瘇終盅眾茽炂幒銿忪鴤踵重刣偅螤众尰衶筗鼨鈆
zhou 盩宙骤騆軸皺縐皱呪驟舟酎妯荮纣輈翢诪伷甃嚋胄譸諏噣椆淍銂鵃洲赒箒菷籕矪粙薵洀鯞輖炿轴肘徟珘碡咮侜晭冑繇鸼周賙晝烐霌绉紂昼葤駎喌粥咒籀诌啁帚郮週婤籒睭辀疛謅州詋詶僽
zhu 舳劚曯属纻櫧潴茿莇翥羜馵侏敱珠鮢蝫薥朮助孎諸瘃紵渚鋳蠩駐邾住鑄跓杼筯芧朱敳陼爥炢矚钃騶鼄橥箸笜軴秼柷疰窋屬祩诸劯硃祝眝烛紸佇跦竹鱁注泏櫫絑鸀术著宔褚鉒貯嘱砫斸铸蠋茱藸麈駯銖藷株苎櫡坾苧蠾霔袾主殶蛛逫枓鯺誅筑蕏槠猪洙濐竚尌詝伫拄蓫燭壴嵀罜篴铢註笁驻贮竺灟飳鴸煑囑瀦蛀煮欘炷樦迬逐躅麆诛瞩篫豬柱築
zhua 抓膼撾挝簻檛髽摣爪
zhuai 跩拽睉嘬轉捙顡转
zhuan 耑漙轉僎諯蒃灷籑沌撰颛赚剸塼孨馔甎賺磗囀篆僝磚转瑑叀鱄襈簨蟤縳砖专鄟顓篹膞篿堟传傳饌腞瑼竱嫥專譔啭
zhuang 奘娤裝妆装桩庒妝梉粧樁夦湷莊庄糚
